regions,day,price,Year
Germany,2013-10-01,-0.008559569478310712,2013
Japan,2013-10-01,-0.053639151735571884,2013
UK,2013-10-01,0.06158334919254349,2013
USA,2013-10-01,0.1335943884722912,2013
Canada,2013-11-01,0.3193717277486909,2013
France,2013-11-01,-0.0022630073735439016,2013
Germany,2013-11-01,0.13020590212490513,2013
Japan,2013-11-01,-0.014576607685414024,2013
UK,2013-11-01,0.08660854901806325,2013
USA,2013-11-01,0.08182659707541506,2013
Canada,2013-12-01,-0.019841269841269767,2013
France,2013-12-01,0.01666120222211953,2013
Germany,2013-12-01,-0.01397280871140516,2013
Japan,2013-12-01,-0.015929042537478292,2013
UK,2013-12-01,0.16426947639719391,2013
USA,2013-12-01,0.09064899318082098,2013
Canada,2014-01-01,0.0539811066126854,2014
France,2014-01-01,0.1463473388980181,2014
Germany,2014-01-01,0.16763609382836608,2014
Japan,2014-01-01,0.06752918721518064,2014
UK,2014-01-01,0.07546939436776379,2014
USA,2014-01-01,0.3366066679462798,2014
Canada,2014-02-01,-0.23431498079385396,2014
France,2014-02-01,0.2094116851359893,2014
Germany,2014-02-01,0.09703643333942448,2014
Japan,2014-02-01,0.10799109364612523,2014
UK,2014-02-01,0.08244708990155147,2014
USA,2014-02-01,0.15835662169285847,2014
Canada,2014-03-01,-0.0752508361204014,2014
France,2014-03-01,0.10674204897419126,2014
Germany,2014-03-01,0.027089422598115972,2014
Japan,2014-03-01,-0.03182762028291864,2014
UK,2014-03-01,-0.0666744699308005,2014
USA,2014-03-01,-0.01576075398994725,2014
Canada,2014-04-01,0.3707052441229657,2014
France,2014-04-01,-0.05713039736758285,2014
Germany,2014-04-01,-0.056353794190081685,2014
Japan,2014-04-01,-0.0012420676225277651,2014
UK,2014-04-01,-0.02130034760405486,2014
USA,2014-04-01,-0.04745494088019242,2014
Canada,2014-05-01,0.1675461741424802,2014
France,2014-05-01,0.07557223478080566,2014
Germany,2014-05-01,0.06673229609466325,2014
Japan,2014-05-01,0.010907778383168363,2014
UK,2014-05-01,0.047416183950987456,2014
USA,2014-05-01,0.13643691283424575,2014
Canada,2014-06-01,0.07683615819209044,2014
France,2014-06-01,-0.20144533029535672,2014
Germany,2014-06-01,-0.2134551312767301,2014
Japan,2014-06-01,0.06258143233248759,2014
UK,2014-06-01,-0.0324866890739588,2014
USA,2014-06-01,0.056857321097234285,2014
Canada,2014-07-01,0.008394543546694555,2014
France,2014-07-01,-0.13101644864824735,2014
Germany,2014-07-01,-0.1624520548300702,2014
Japan,2014-07-01,0.021093610002082645,2014
UK,2014-07-01,-0.13101270545556787,2014
USA,2014-07-01,-0.11065486737541497,2014
Canada,2014-08-01,-0.1165452653485951,2014
France,2014-08-01,-0.011728347529909032,2014
Germany,2014-08-01,-0.004267143421695986,2014
Japan,2014-08-01,0.00212657562965779,2014
UK,2014-08-01,0.050387373998245,2014
USA,2014-08-01,0.02602818036275778,2014
Canada,2014-09-01,0.007067137809187329,2014
France,2014-09-01,-0.0910807888546783,2014
Germany,2014-09-01,-0.07478521311430764,2014
Japan,2014-09-01,-0.04536936855029905,2014
UK,2014-09-01,0.0502772098607216,2014
USA,2014-09-01,-0.09271107349165553,2014
Canada,2014-10-01,0.08771929824561409,2014
France,2014-10-01,-0.10088320184656564,2014
Germany,2014-10-01,-0.06557040719391516,2014
Japan,2014-10-01,0.06660139052189562,2014
UK,2014-10-01,0.03490848577039896,2014
USA,2014-10-01,0.2036448570682672,2014
Canada,2014-11-01,0.2021505376344084,2014
France,2014-11-01,0.25680919734612884,2014
Germany,2014-11-01,0.2159210974571446,2014
Japan,2014-11-01,0.05169773293636326,2014
UK,2014-11-01,0.11705860192157225,2014
USA,2014-11-01,0.1794557963414174,2014
Canada,2014-12-01,0.06171735241502674,2014
France,2014-12-01,-0.05421730678990977,2014
Germany,2014-12-01,-0.03022710251878946,2014
Japan,2014-12-01,0.01919630386623794,2014
UK,2014-12-01,0.0009336058919959812,2014
USA,2014-12-01,0.117274832430728,2014
Canada,2015-01-01,-0.010109519797809495,2015
France,2015-01-01,-0.025089782583505804,2015
Germany,2015-01-01,0.07708704042549819,2015
Japan,2015-01-01,0.12614411654538604,2015
UK,2015-01-01,0.14124019679847755,2015
USA,2015-01-01,-0.07003596485039831,2015
Canada,2015-02-01,0.050212765957446726,2015
France,2015-02-01,-0.07924614317948309,2015
Germany,2015-02-01,-0.11376978857276356,2015
Japan,2015-02-01,0.08589321801969807,2015
UK,2015-02-01,0.09265167261795848,2015
USA,2015-02-01,0.06750733396251385,2015
Canada,2015-03-01,0.004051863857374549,2015
France,2015-03-01,0.12723209957955595,2015
Germany,2015-03-01,-0.024391985772096447,2015
Japan,2015-03-01,-0.020829889065089983,2015
UK,2015-03-01,0.01959901748642001,2015
USA,2015-03-01,0.08287172123704956,2015
Canada,2015-04-01,-0.07021791767554486,2015
France,2015-04-01,-0.08235345887041756,2015
Germany,2015-04-01,-0.07657715239059815,2015
Japan,2015-04-01,0.05706959334915074,2015
UK,2015-04-01,-0.00546032396654772,2015
USA,2015-04-01,-0.06861249393531442,2015
Canada,2015-05-01,0.1944444444444444,2015
France,2015-05-01,-0.03282541117870208,2015
Germany,2015-05-01,0.020748144782674505,2015
Japan,2015-05-01,-0.08009132431272659,2015
UK,2015-05-01,-0.042791652068237096,2015
USA,2015-05-01,-0.1679629013338776,2015
Canada,2015-06-01,-0.03997093023255805,2015
France,2015-06-01,-0.15274022288443356,2015
Germany,2015-06-01,-0.08354828333642439,2015
Japan,2015-06-01,0.02245641204720017,2015
UK,2015-06-01,-0.07959456491787698,2015
USA,2015-06-01,-0.02017907259507612,2015
Canada,2015-07-01,-0.1090083270249812,2015
France,2015-07-01,0.05161381329290071,2015
Germany,2015-07-01,0.08576238229925348,2015
Japan,2015-07-01,0.1781666408471574,2015
UK,2015-07-01,0.10783870758997027,2015
USA,2015-07-01,0.006474734452230013,2015
Canada,2015-08-01,-0.04587935429056922,2015
France,2015-08-01,-0.02389658207165091,2015
Germany,2015-08-01,-0.0952570247370692,2015
Japan,2015-08-01,-0.010505402824972143,2015
UK,2015-08-01,0.06487054953300088,2015
USA,2015-08-01,0.012733016296373023,2015
Canada,2015-09-01,-0.044523597506678565,2015
France,2015-09-01,0.04689325007312739,2015
Germany,2015-09-01,0.18830746827583345,2015
Japan,2015-09-01,-0.04866969635227991,2015
UK,2015-09-01,0.019316173240468748,2015
USA,2015-09-01,0.009401505283833655,2015
Canada,2015-10-01,0.0027958993476233647,2015
France,2015-10-01,0.06667808716487267,2015
Germany,2015-10-01,0.07673813478609938,2015
Japan,2015-10-01,0.06895038176948233,2015
UK,2015-10-01,0.024222227811708352,2015
USA,2015-10-01,0.19457396518872327,2015
Canada,2015-11-01,-0.0306691449814126,2015
France,2015-11-01,-0.0722668214170824,2015
Germany,2015-11-01,-0.009331268836109574,2015
Japan,2015-11-01,-0.061241944116007474,2015
UK,2015-11-01,-0.062386579561414135,2015
USA,2015-11-01,-0.1136356610261905,2015
Canada,2015-12-01,-0.021093000958772645,2015
France,2015-12-01,0.08209126249527099,2015
Germany,2015-12-01,0.04435182080283751,2015
Japan,2015-12-01,0.007377968257832324,2015
UK,2015-12-01,0.05807506418659325,2015
USA,2015-12-01,0.037618755224309686,2015
Canada,2016-01-01,-0.23114593535749275,2016
France,2016-01-01,0.12727479296398414,2016
Germany,2016-01-01,-0.010172365555834006,2016
Japan,2016-01-01,0.07904238452227097,2016
UK,2016-01-01,-0.05002322020208594,2016
USA,2016-01-01,-0.04024317015349543,2016
Canada,2016-02-01,-0.08025477707006368,2016
France,2016-02-01,0.14599876500993236,2016
Germany,2016-02-01,0.03304395261125581,2016
Japan,2016-02-01,-0.004344608423441754,2016
UK,2016-02-01,-0.13643368464056582,2016
USA,2016-02-01,0.061374565458098385,2016
Canada,2016-03-01,0.24099722991689765,2016
France,2016-03-01,-0.039994507070413084,2016
Germany,2016-03-01,-0.006959440077326296,2016
Japan,2016-03-01,-0.05349103322206017,2016
UK,2016-03-01,-0.062164573991583476,2016
USA,2016-03-01,-0.035021804036332926,2016
Canada,2016-04-01,0.0412946428571428,2016
France,2016-04-01,-0.05095659583322632,2016
Germany,2016-04-01,-0.03274271112840665,2016
Japan,2016-04-01,-0.036368945088974924,2016
UK,2016-04-01,-0.08986577478574198,2016
USA,2016-04-01,-0.1848729099856965,2016
Canada,2016-05-01,0.032154340836012985,2016
France,2016-05-01,-0.1133235298595604,2016
Germany,2016-05-01,-0.10908190742604673,2016
Japan,2016-05-01,-0.009752839914692337,2016
UK,2016-05-01,0.058965395188397274,2016
USA,2016-05-01,-0.11544487189546805,2016
Canada,2016-06-01,-0.07684319833852549,2016
France,2016-06-01,-0.1932129009353516,2016
Germany,2016-06-01,-0.14639733406205258,2016
Japan,2016-06-01,0.018888215845849432,2016
UK,2016-06-01,-0.23217772629225586,2016
USA,2016-06-01,-0.07562312860549791,2016
Canada,2016-07-01,0.011248593925759163,2016
France,2016-07-01,-0.10500626593041527,2016
Germany,2016-07-01,-0.004068478678835419,2016
Japan,2016-07-01,-0.02547806950270526,2016
