regions,price,Year,iso_alpha
Germany,190.5,2015,DEU
Japan,142.6,2015,JPN
UK,205.1,2015,GBR
USA,73.2,2015,USA
Canada,108.3,2015,CAN
France,188.9,2015,FRA
Germany,192.1,2015,DEU
Japan,146.6,2015,JPN
UK,209.0,2015,GBR
USA,82.1,2015,USA
Canada,109.2,2015,CAN
France,187.6,2015,FRA
Germany,193.8,2015,DEU
Japan,144.4,2015,JPN
UK,208.2,2015,GBR
USA,80.5,2015,USA
Canada,114.7,2015,CAN
France,195.1,2015,FRA
Germany,202.5,2015,DEU
Japan,142.8,2015,JPN
UK,217.0,2015,GBR
USA,87.2,2015,USA
Canada,120.8,2015,CAN
France,199.7,2015,FRA
Germany,206.9,2015,DEU
Japan,144.0,2015,JPN
UK,223.8,2015,GBR
USA,91.4,2015,USA
Canada,119.5,2015,CAN
France,202.9,2015,FRA
Germany,211.8,2015,DEU
Japan,150.1,2015,JPN
UK,233.1,2015,GBR
USA,94.8,2015,USA
Canada,109.4,2015,CAN
France,200.7,2015,FRA
Germany,207.9,2015,DEU
Japan,147.6,2015,JPN
UK,233.4,2015,GBR
USA,91.4,2015,USA
Canada,103.3,2015,CAN
France,193.7,2015,FRA
Germany,202.2,2015,DEU
Japan,149.3,2015,JPN
UK,224.5,2015,GBR
USA,82.9,2015,USA
Canada,105.3,2015,CAN
France,192.4,2015,FRA
Germany,196.0,2015,DEU
Japan,148.0,2015,JPN
UK,221.4,2015,GBR
USA,80.2,2015,USA
Canada,105.9,2015,CAN
France,183.6,2015,FRA
Germany,188.8,2015,DEU
Japan,142.2,2015,JPN
UK,216.3,2015,GBR
USA,75.7,2015,USA
Canada,101.7,2015,CAN
France,190.2,2015,FRA
Germany,194.0,2015,DEU
Japan,141.9,2015,JPN
UK,214.4,2015,GBR
USA,73.8,2015,USA
Canada,95.8,2016,CAN
France,195.9,2016,FRA
Germany,194.0,2016,DEU
Japan,141.7,2016,JPN
UK,208.5,2016,GBR
USA,73.2,2016,USA
Canada,90.0,2016,CAN
France,190.9,2016,FRA
Germany,186.6,2016,DEU
Japan,135.5,2016,JPN
UK,200.0,2016,GBR
USA,64.2,2016,USA
Canada,96.6,2016,CAN
France,185.4,2016,FRA
Germany,183.2,2016,DEU
Japan,131.6,2016,JPN
UK,192.7,2016,GBR
USA,68.7,2016,USA
Canada,101.6,2016,CAN
France,189.0,2016,FRA
Germany,188.5,2016,DEU
Japan,135.8,2016,JPN
UK,194.4,2016,GBR
USA,71.4,2016,USA
Canada,107.4,2016,CAN
France,194.4,2016,FRA
Germany,195.3,2016,DEU
Japan,141.2,2016,JPN
UK,204.4,2016,GBR
USA,77.6,2016,USA
Canada,109.2,2016,CAN
France,196.1,2016,FRA
Germany,195.2,2016,DEU
Japan,151.0,2016,JPN
UK,203.1,2016,GBR
USA,80.5,2016,USA
Canada,104.2,2016,CAN
France,191.6,2016,FRA
Germany,193.8,2016,DEU
Japan,156.9,2016,JPN
UK,193.9,2016,GBR
USA,76.8,2016,USA
Canada,104.4,2016,CAN
France,186.3,2016,FRA
Germany,190.6,2016,DEU
Japan,156.5,2016,JPN
UK,187.3,2016,GBR
USA,74.8,2016,USA
Canada,105.1,2016,CAN
France,189.9,2016,FRA
Germany,193.6,2016,DEU
Japan,157.9,2016,JPN
UK,191.5,2016,GBR
USA,76.8,2016,USA
Canada,108.2,2016,CAN
France,193.9,2016,FRA
Germany,195.0,2016,DEU
Japan,159.0,2016,JPN
UK,185.9,2016,GBR
USA,78.8,2016,USA
Canada,102.0,2016,CAN
France,191.2,2016,FRA
Germany,191.8,2016,DEU
Japan,156.6,2016,JPN
UK,192.5,2016,GBR
USA,77.4,2016,USA
Canada,108.5,2016,CAN
France,190.4,2016,FRA
Germany,153.0,2016,DEU
Japan,147.7,2016,JPN
UK,190.8,2016,GBR
USA,79.6,2016,USA
Canada,113.5,2017,CAN
France,197.8,2017,FRA
Germany,196.3,2017,DEU
Japan,150.5,2017,JPN
UK,193.7,2017,GBR
USA,82.0,2017,USA
Canada,108.7,2017,CAN
France,197.4,2017,FRA
Germany,196.5,2017,DEU
Japan,151.5,2017,JPN
UK,196.8,2017,GBR
USA,79.9,2017,USA
Canada,109.4,2017,CAN
France,199.3,2017,FRA
Germany,196.6,2017,DEU
Japan,157.8,2017,JPN
UK,197.2,2017,GBR
USA,82.2,2017,USA
Canada,117.8,2017,CAN
France,208.1,2017,FRA
Germany,208.3,2017,DEU
Japan,163.3,2017,JPN
UK,207.3,2017,GBR
USA,87.2,2017,USA
Canada,113.9,2017,CAN
France,206.8,2017,FRA
Germany,207.3,2017,DEU
Japan,160.9,2017,JPN
UK,204.9,2017,GBR
USA,86.0,2017,USA
Canada,109.2,2017,CAN
France,201.6,2017,FRA
Germany,203.2,2017,DEU
Japan,157.4,2017,JPN
UK,196.4,2017,GBR
USA,82.5,2017,USA
Canada,109.5,2017,CAN
France,193.2,2017,FRA
Germany,197.1,2017,DEU
Japan,147.4,2017,JPN
UK,186.3,2017,GBR
USA,75.8,2017,USA
Canada,112.8,2017,CAN
France,199.1,2017,FRA
Germany,202.0,2017,DEU
Japan,150.6,2017,JPN
UK,189.1,2017,GBR
USA,79.3,2017,USA
Canada,118.4,2017,CAN
France,199.6,2017,FRA
Germany,202.8,2017,DEU
Japan,146.2,2017,JPN
UK,193.6,2017,GBR
USA,85.9,2017,USA
Canada,115.7,2017,CAN
France,201.2,2017,FRA
Germany,202.9,2017,DEU
Japan,150.7,2017,JPN
UK,195.0,2017,GBR
USA,83.4,2017,USA
Canada,123.3,2017,CAN
France,210.2,2017,FRA
Germany,204.9,2017,DEU
Japan,157.1,2017,JPN
UK,201.2,2017,GBR
USA,86.4,2017,USA
Canada,119.7,2017,CAN
France,212.2,2017,FRA
Germany,205.0,2017,DEU
Japan,160.1,2017,JPN
UK,205.4,2017,GBR
USA,83.5,2017,USA
Canada,123.6,2018,CAN
France,221.7,2018,FRA
Germany,207.3,2018,DEU
Japan,160.9,2018,JPN
UK,208.0,2018,GBR
USA,83.9,2018,USA
Canada,123.1,2018,CAN
France,228.1,2018,FRA
Germany,210.1,2018,DEU
Japan,168.7,2018,JPN
UK,212.6,2018,GBR
USA,86.1,2018,USA
Canada,127.2,2018,CAN
France,232.0,2018,FRA
Germany,211.5,2018,DEU
Japan,175.2,2018,JPN
UK,215.5,2018,GBR
USA,88.5,2018,USA
Canada,135.1,2018,CAN
France,232.1,2018,FRA
Germany,215.4,2018,DEU
Japan,169.9,2018,JPN
UK,216.6,2018,GBR
USA,92.7,2018,USA
Canada,138.7,2018,CAN
France,232.6,2018,FRA
Germany,220.4,2018,DEU
Japan,173.2,2018,JPN
UK,216.9,2018,GBR
USA,98.6,2018,USA
Canada,135.5,2018,CAN
France,239.1,2018,FRA
Germany,225.0,2018,DEU
Japan,181.9,2018,JPN
UK,223.1,2018,GBR
USA,101.2,2018,USA
Canada,136.8,2018,CAN
France,235.0,2018,FRA
Germany,223.8,2018,DEU
Japan,179.2,2018,JPN
UK,220.0,2018,GBR
USA,98.9,2018,USA
Canada,134.1,2018,CAN
France,233.0,2018,FRA
Germany,223.3,2018,DEU
Japan,178.6,2018,JPN
UK,216.0,2018,GBR
USA,97.7,2018,USA
Canada,133.4,2018,CAN
France,236.4,2018,FRA
Germany,229.8,2018,DEU
