Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,5.200000,8.790000,4.970000,8.440000,7.956739,185238100
2012-02-01,8.470000,9.910000,6.900000,7.410000,6.985714,180522000
2012-03-01,7.450000,7.970000,6.780000,7.590000,7.155408,157353600
2012-04-01,7.590000,10.440000,7.410000,10.260000,9.672527,182375100
2012-05-01,10.280000,13.360000,9.650000,13.220000,12.463042,187875000
2012-06-01,13.010000,13.800000,11.120000,13.330000,12.566747,194296500
2012-07-01,13.430000,14.510000,10.590000,11.460000,10.803818,196980100
2012-08-01,11.290000,11.750000,9.740000,10.660000,10.049626,172003900
2012-09-01,10.610000,12.480000,10.150000,10.460000,9.861073,138223400
2012-10-01,10.350000,12.630000,10.320000,12.180000,11.482591,119547300
2012-11-01,12.170000,13.190000,11.520000,12.890000,12.151937,114252000
2012-12-01,12.920000,13.750000,11.970000,13.500000,12.727013,113671300
2013-01-01,13.720000,15.640000,13.600000,14.280000,13.462347,148165800
2013-02-01,14.430000,15.400000,12.700000,13.430000,12.661017,193396500
2013-03-01,13.370000,17.430000,13.320000,16.969999,15.998317,187166700
2013-04-01,17.020000,17.129999,15.030000,16.900000,15.932328,152135500
2013-05-01,16.910000,19.700001,16.600000,17.570000,16.563969,127394000
2013-06-01,17.540001,18.200001,15.590000,16.420000,15.479815,104045500
2013-07-01,16.500000,19.490000,16.040001,19.350000,18.242050,117959400
2013-08-01,19.440001,19.590000,15.280000,16.160000,15.234702,218655000
2013-09-01,16.379999,19.480000,16.110001,18.959999,17.874378,90979900
2013-10-01,18.980000,23.160000,18.980000,21.969999,20.712030,125759100
2013-11-01,22.040001,25.490000,21.600000,23.480000,22.135567,245060000
2013-12-01,23.549999,27.200001,21.450001,25.250000,23.804220,326931400
2014-01-01,25.070000,34.200001,25.059999,33.549999,31.628963,290291800
2014-02-01,33.950001,37.279999,33.049999,36.930000,34.815449,197511500
2014-03-01,36.169998,39.880001,35.020000,36.599998,34.504333,194519600
2014-04-01,36.950001,38.900002,31.860001,35.070000,33.061943,256325500
2014-05-01,35.860001,40.330002,35.470001,40.160000,37.860500,193159300
2014-06-01,40.000000,44.880001,38.849998,42.959999,40.500168,335502400
2014-07-01,43.439999,44.000000,37.900002,38.849998,36.625519,265201400
