Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,4.670000,4.930000,4.290000,4.800000,4.800000,180200
2021-06-01,4.820000,5.510000,4.750000,4.750000,4.750000,82000
2021-07-01,4.760000,5.290000,4.510000,4.740000,4.740000,252000
2021-08-01,4.640000,4.890000,4.350000,4.800000,4.800000,31600
2021-09-01,4.720000,5.160000,4.530000,5.060000,5.060000,33400
2021-10-01,5.000000,5.340000,4.600000,4.630000,4.630000,168900
2021-11-01,4.850000,5.360000,3.830000,4.000000,4.000000,164500
2021-12-01,4.100000,4.330000,3.720000,4.180000,4.180000,74100
2022-01-01,4.180000,4.390000,3.930000,3.980000,3.980000,27600
2022-02-01,4.400000,4.700000,4.100000,4.380000,4.380000,74000
2022-03-01,4.180000,4.380000,3.800000,4.130000,4.130000,79800
2022-04-01,4.120000,4.210000,3.770000,3.850000,3.850000,110200
2022-05-01,3.950000,4.180000,3.670000,3.970000,3.970000,110700
2022-06-01,3.970000,4.040000,3.510000,3.590000,3.590000,56500
2022-07-01,3.620000,3.700000,3.370000,3.640000,3.640000,49700
2022-08-01,3.860000,3.950000,3.700000,3.840000,3.840000,28400
2022-09-01,3.990000,3.990000,3.610000,3.770000,3.770000,39100
2022-10-01,3.800000,4.020000,3.690000,4.010000,4.010000,47900
2022-11-01,4.100000,4.260000,4.010000,4.260000,4.260000,37700
2022-12-01,4.290000,4.340000,4.150000,4.250000,4.250000,23200
2023-01-01,4.250000,4.510000,4.070000,4.480000,4.480000,33000
2023-02-01,4.480000,4.690000,4.010000,4.090000,4.090000,15300
