UK TUI Airways in CAD,Germany LHA in CAD,Air France in CAD,Japan All Nippon Airways in CAD,Air Canada,American Airlines in CAD
46.87923399197892,13.961647499999998,6.409274999999999,5.944145606306515,1.07,8.620032460004635
49.98847057579403,13.713762000000001,5.839535700000001,6.073539278937382,0.98,7.402125996204934
46.69010424242425,13.76944,5.58912,5.8641826923076925,0.94,7.480528846153846
46.94189356181796,13.086044099999999,4.8252375,5.919986522911052,1.0,10.22543126684636
38.445824120179594,11.013876999999999,4.4084075,5.296590737097018,0.91,12.990896019373393
39.905498394782605,11.6591722,4.8092646000000006,6.042937834767084,0.98,13.840611913650383
44.69658950297472,13.192775,5.573143,4.8049007148530585,1.14,11.715779189833201
51.85791032888889,12.08592,4.937856,4.4379248658318415,1.08,10.67906976744186
56.08067856196164,13.173785,6.2971941,4.208211085560224,1.27,10.357150107049401
61.126681584742585,14.934392999999998,8.1638815,3.9347674147705205,1.77,11.981366777976234
65.76762449393014,16.548444,9.140551199999999,4.377974566473988,1.81,12.88403930635838
66.55026487715837,18.375296,9.0328,4.21322655167103,1.75,13.414754350839365
68.60687742090431,19.2128625,10.5345603,3.922978626648477,2.44,14.218308321964532
64.66703223407218,21.069164999999998,11.1059728,4.127881119906186,2.41,13.423109791849896
69.30092735804324,20.4712695,9.889631999999999,4.341184615384615,3.03,17.540452043307692
66.00612218543047,19.765878,10.0209616,4.321690745802421,3.0,17.18507614213198
78.93829146950135,21.9732176787,9.9242843,4.447460220318238,2.05,17.75951728886169
76.57090751572657,20.950323,9.2587128,4.276238659080423,2.41,16.96034753190835
81.06100429921167,20.63957,8.3463404,4.38654445041037,2.18,20.35482856485388
73.25732188794294,18.407315,7.762285,4.252938954366877,2.81,16.641039588999696
82.10819317852334,20.088744,10.2555024,4.517222516055912,3.53,19.964227129882886
87.16469071060516,19.916793000000002,10.764702000000002,4.274922532093847,5.73,22.631335844621518
94.71389809865893,22.510077,10.740341399999998,4.212608663457979,7.56,24.48318104405776
110.27250054686282,22.195548,10.919288400000001,4.145505840864007,7.41,26.702556755565354
118.59469937855344,25.9163229671,12.5172972,4.425448480893337,7.81,35.69081541070263
128.3724872200645,28.431150513099997,15.1385655,4.903357502219592,5.98,41.342692364604915
119.81331968096823,29.2013339643,16.754487,4.747295301527546,5.53,40.691100360964306
117.26125432416787,27.555728,15.7972965,4.741398839738941,7.58,38.76010659898477
122.82133552952614,29.394585,16.9911335,4.793116967509025,8.85,44.048415884476526
118.83127699053006,23.12016,13.568349,5.093077092672889,9.53,46.552890810244726
103.26286989926075,19.364242500000003,11.790672100000002,5.200508474576272,9.61,41.40158685169492
108.46601474500692,19.2816125,11.652387,5.211567749160134,8.49,42.47919482157522
113.91938333109776,17.839633000000003,10.5910784,4.975122211223636,8.55,38.54090306860581
117.89613650308402,16.669880999999997,9.5226165,5.306472268507498,9.3,46.389559765293974
131.69689341408989,20.26926,11.968112000000001,5.580804854679016,11.18,54.71443515490258
131.81984640973886,19.656579,11.319233200000001,5.68793568048761,11.87,61.13106136923571
150.43810745859545,21.1718465,11.0352361,6.405435301869699,11.75,56.849688503912375
164.37644974011448,18.763129999999997,10.1607362,6.955618752764263,12.34,60.68745941141087
167.59806665292663,18.30546,11.453508,6.810733985765124,12.39,65.71673363033807
166.6829269128346,16.90368,10.510272,7.19941980474198,11.52,61.207744642677824
159.5502890986652,17.2544,10.165268000000001,6.622808738296924,13.76,50.927114268390554
146.85095325533544,15.8128245,8.612622700000001,6.771533260233918,13.21,49.89945233251096
162.68717026274595,17.16897,9.057153,7.977994594594596,11.77,50.222538035675676
173.24077639965915,15.533505000000002,8.840718,7.894182547642929,11.23,50.86202243092915
176.58712524890828,18.45858,9.255288,7.5099750800996805,10.73,51.340202003559995
180.864458825302,19.875056999999998,9.8724129,8.027790728951851,10.76,61.3296686809827
169.5809438749652,19.689597499999998,9.158965,7.5361532177543795,10.43,54.36043123990198
179.42936807532686,20.562866999999997,9.910836,7.591754716981132,10.21,56.40540299660377
170.45373328537366,20.353694,11.1722356,8.191825112519519,7.85,54.13547076623496
147.19810239250987,21.026260500000003,12.803368200000001,8.156234840132305,7.22,57.45801176038221
138.04759506491,20.8799295,12.2913038,7.7199494113318625,8.96,55.445728532192796
125.64184097709351,20.196264000000003,11.6649808,7.439182995101469,9.33,45.19531535216935
133.0503617825056,17.993217,10.343064000000002,7.366629834254144,9.63,39.97774796106288
102.1590313014814,15.359057999999997,8.3446506,7.50577232862001,8.89,36.954505585645244
107.04282931528093,15.296570000000001,7.46841,7.314539739559947,8.99,45.87741356084419
114.90491517246274,15.236121500000001,7.181180100000001,7.199424041562165,8.96,47.42996107246507
117.66319618893517,14.494976999999999,6.999442200000001,7.247414319038219,10.6,48.066638671631075
105.2535881142353,17.106505000000002,8.164702,7.6339037720634355,12.65,53.437323772063436
107.91274971776474,18.007425,7.496097000000001,7.615510204081634,13.5,62.046366010884356
120.11309110799306,17.472479999999997,7.367776,7.343107179824974,13.67,62.563807825350516
119.58038575953653,17.500898000000003,6.947863600000001,7.954755715776492,13.37,59.55971919172754
116.93748826757825,19.496151,9.3688662,7.708276181649676,13.38,60.56876126941613
113.38828303869082,21.34688,9.968431200000001,8.4,13.8,56.399998666666676
118.23319143922481,22.595760000000002,11.0054475,8.125886259470583,12.99,56.86785948321018
129.23727203177347,25.793763000000002,14.988570000000001,8.814678865507776,17.799999,66.05551143641354
117.68775695288318,30.1963359845,18.9210175,9.604425528121938,17.379999,67.97393707104021
119.40552500199014,26.8717360215,16.9066475,8.952361549246406,19.83,65.3483513157203
124.25446681697227,31.050859,18.907571,9.394650355570606,23.34,55.81894763579411
123.39090707032312,34.86533000000001,19.78322,9.903255033557048,26.24,59.08361826006712
137.36264675780808,40.24238,19.754015,9.60389971201084,25.559999,58.24541250211755
140.6544098323511,43.2645834986,17.900776999999998,10.272869445401309,24.59,65.1604521160868
158.8419097730239,47.004670469900006,20.778758,10.698469499368954,25.879999,66.98451953714768
164.03743949764998,43.222086,18.813789,10.408046360376886,23.91,68.11627449345451
162.70196820521025,42.39117753479999,15.004204799999998,10.064464242716108,27.059999,66.82952082831687
163.9769462474017,40.6064775654,14.104254,9.852077890066552,26.77,66.82949834409662
181.4797772059664,38.418215000000004,12.935350999999999,10.320590861131402,25.24,55.382870708546385
186.47945544315598,36.13515,10.5872104,10.33216822584651,22.969999,56.02274157976653
172.8298485328467,31.192520000000002,10.5751728,9.38183734681635,21.25,49.257888838632276
169.86447302048418,37.0608,12.060202,9.748938068279294,23.530001,52.374051762051806
144.7622543440027,34.254518999999995,12.550343999999999,9.258926983584132,26.82,52.714678522571816
149.30794433340765,32.146272,13.6302624,9.323045232168914,27.6,53.89111581701142
129.9056189041065,26.403792,12.726152,8.556915388592106,24.98,44.93661810563501
114.00549192609981,32.0436,15.172272,9.484244711665058,29.0,52.53617484420258
111.21033043607132,29.7785215116,14.329968000000001,9.608021832907827,25.959999,42.73041421920944
123.60764234402421,34.424628439500005,17.1655,9.758235807860261,29.67,48.75029257641921
85.62334307584655,33.843376507500004,16.3639125,10.06664632551652,33.110001,46.82436274736292
79.32406153103481,29.2907629971,15.008427500000002,9.758835104981111,32.209999,41.77097074584907
93.03146619370051,32.292912,15.45618,9.388766464934141,32.16,45.64836952652189
76.87812683772378,25.7028734925,11.66202,8.788598680691747,39.900002,36.59228472098414
78.11672734319508,22.778305000000003,12.775198,8.797089947089948,39.689999,44.202328501031296
79.37718413005194,21.369875,14.009718399999999,8.841792228390167,45.41,39.964900872323554
77.13524041623698,20.413596,14.959748999999999,9.062580411343662,44.75,34.8082454831929
91.96022145729587,21.371364,14.0746116,8.912212758245742,43.209999,35.821515525733965
101.40849762351752,22.487397,15.442455000000002,8.893576803083134,46.900002,39.90162832941824
113.36095824597712,25.282402531800003,15.680375999999999,9.239682197683814,50.049999,37.881378938863456
104.14340567767674,23.981574000000002,14.5029336,8.676313968311781,48.509998,38.16513567656165
84.5719516248237,20.189034,12.2506416,8.186523055011573,44.330002,34.87718711055724
64.80298467312147,17.098962999999998,10.1043316,6.736466702859211,34.25,25.212118654813608
37.86462332086972,12.6349434,7.5231186,6.802443290516535,15.75,16.387704290789834
